Date,Open,High,Low,Close,Volume From,Volume To
25-02-2018,267.57,279,261,276.53,1724.61,465211.87
26-02-2018,276.53,295.96,266.31,289.57,2740.44,768188.58
27-02-2018,289.57,308,284,299.5,3638.56,1090604.96
28-02-2018,299.5,304.78,282.96,283.2,2951.47,871529.59
01-03-2018,283.2,315,282.79,313.04,4735.08,1438464.44
02-03-2018,313.04,351.2,307,342,14733.35,4808668.59
03-03-2018,342,373.95,341.92,351.72,11091.22,3968587.07
04-03-2018,351.72,369.9,335.21,369.36,3365.42,1182002.61
05-03-2018,369.36,380,353.94,368.67,6683.58,2458759.65
06-03-2018,368.67,371,336.95,341.84,6593.61,2320640.61
07-03-2018,341.84,362,315,334.3,8450.28,2862027.6
08-03-2018,334.3,337.52,272.84,276.5,13682.15,4066297.89
09-03-2018,276.5,284.69,240.53,284.53,11009.61,2873231.18
10-03-2018,284.53,293.72,250.72,254.38,5685.25,1573401.95
11-03-2018,254.38,286.5,242.5,278.5,3720.61,976584.2
12-03-2018,278.5,286,248.43,257.17,3783.54,1014318.28
13-03-2018,257.17,265.9,242,247.54,4943.53,1246332.51
14-03-2018,247.54,250.63,205,213.8,14154.88,3109671.73
15-03-2018,213.8,224.64,196,211.57,12845.82,2704428.99
16-03-2018,211.57,222.12,202.22,213.71,7385.27,1569418.24
17-03-2018,213.71,215.87,191.67,195.8,10006.06,2005931.7
18-03-2018,195.8,209.1,172.78,207.61,12700.62,2412708.85
19-03-2018,207.61,221.94,200.53,216.11,14232.94,3051374.86
20-03-2018,216.11,233.97,205,220.05,10535.76,2303801.7
21-03-2018,220.05,236,212.67,218.36,8280.97,1838166.52
22-03-2018,218.36,224.93,202,211.3,4901.89,1036863.52
23-03-2018,211.3,215.33,196.64,214.93,4162.22,866089.75
24-03-2018,214.93,215.86,206,206.5,2588.13,549975.7
25-03-2018,206.5,214.5,200.94,210.65,2724.91,565031.97
26-03-2018,210.65,210.86,186.16,194.86,4139.76,807198.17
27-03-2018,194.86,197.92,183.4,186.64,2758.88,523875.97
28-03-2018,186.64,201.88,184.97,199.2,6621.93,1278364.35
29-03-2018,199.2,200.43,172.8,175.01,5219.13,963427.63
30-03-2018,175.01,180.75,161.1,172.29,6227.82,1053439.19
31-03-2018,172.29,182,170.01,179.36,2117.74,374649.11
01-04-2018,179.36,182,162.65,173.15,4304.7,744326.57
02-04-2018,173.15,181,173,176.78,5734.97,1013580.78
03-04-2018,176.78,191.8,176.77,187.18,3215.8,596481.54
04-04-2018,187.18,188.91,167.67,167.78,3131.7,541519.93
05-04-2018,167.78,174.88,163.66,172.64,3833.07,644666.47
06-04-2018,172.64,175,161,161,4010.5,669660.87
07-04-2018,161,173.24,161,167.95,1498.94,252265.8
08-04-2018,167.95,174.67,167.57,172.9,986.41,169369.83
09-04-2018,172.9,178.1,161.94,165.85,2057.36,348680.77
10-04-2018,165.85,167.97,163,166.04,798.51,132018.12
11-04-2018,166.04,169.74,164,169.22,1281.32,213449.18
12-04-2018,169.22,195,165,192.59,9007.73,1671078.72
13-04-2018,192.59,202.4,185.52,189.7,4033.93,781644.97
14-04-2018,189.7,197.74,187.14,190,3252.03,628028.52
15-04-2018,190,204.8,190,200.78,2247.37,445598.01
16-04-2018,200.78,203.52,188.58,194.41,2700.6,527207.52
17-04-2018,194.41,201.97,192.9,193.66,1347.82,265296.04
18-04-2018,193.66,233.64,193.66,228.32,5209.61,1157816.96
19-04-2018,228.32,238.29,225,238,2031.7,471588.36
20-04-2018,238,273.03,237.37,271.19,3796.82,952969.9
