Date,Open,High,Low,Close,Volume From,Volume To
26-08-2018,6726.09,6778.4,6571.3,6713.15,715.04,4767849.85
27-08-2018,6713.15,6935.82,6650,6905,585.97,3967505.18
28-08-2018,6905,7125.29,6863,7076.19,1103.58,7739541.46
29-08-2018,7076.19,7123,6899.9,7032.12,738.18,5185638.34
30-08-2018,7032.12,7059.02,6805.54,6992.11,987.18,6820688.17
31-08-2018,6992.11,7090,6887.92,7026.53,833.13,5835158.33
01-09-2018,7026.53,7275,7013.87,7202,1147.9,8207003.4
02-09-2018,7202,7338,7130.87,7300,1087.34,7885339.43
03-09-2018,7300,7335,7196.08,7267.45,655.45,4761188.78
04-09-2018,7267.45,7409.76,7246.41,7359.09,636.04,4671679.18
05-09-2018,7359.09,7395.89,6680,6700,1951,13686813.59
06-09-2018,6700,6725.71,6300,6510,1766.23,11377818.54
07-09-2018,6510,6550,6320,6388.74,881.44,5680268.71
08-09-2018,6388.74,6474.1,6121.46,6181.88,826.45,5167866.41
09-09-2018,6181.88,6448.59,6147,6247.79,605.31,3828041.69
10-09-2018,6247.79,6360.18,6231,6312.83,565.55,3558526.47
11-09-2018,6312.83,6397.46,6162.34,6291.15,804.31,5055767.96
12-09-2018,6291.15,6350,6197,6338.41,781.5,4899249.08
13-09-2018,6338.41,6523.32,6333.42,6488.38,729.52,4710302.41
14-09-2018,6488.38,6580.81,6382.79,6484.08,813.65,5278846.83
15-09-2018,6484.08,6567.52,6474.35,6516.58,378.18,2464325.42
16-09-2018,6516.58,6519.61,6375,6500.08,549.01,3547222.91
17-09-2018,6500.08,6530,6206.76,6253.28,944.24,5990226.82
18-09-2018,6253.28,6385.39,6226.48,6336.19,886.22,5591492.4
19-09-2018,6336.19,6523.18,6120.1,6383.94,1378.2,8714438.73
20-09-2018,6383.94,6550,6333.9,6492.04,697.37,4488578.24
21-09-2018,6492.04,6786.12,6492,6757.43,1650.38,11037158.96
22-09-2018,6757.43,6832.39,6628.79,6731,825.33,5541774.8
23-09-2018,6731,6786,6661,6711.95,561.6,3772212.37
24-09-2018,6711.95,6729.77,6560,6590.24,746.64,4950955.45
25-09-2018,6590.24,6590.24,6334.36,6440.89,872.12,5603555.03
26-09-2018,6440.89,6556,6384.24,6465.05,859.64,5567948.14
27-09-2018,6465.05,6739.49,6432.4,6692.52,857.49,5649212.22
28-09-2018,6692.52,6800,6540.67,6641.01,775.78,5178066.15
29-09-2018,6641.01,6641.01,6478.43,6597.37,612.8,4018772.85
30-09-2018,6597.37,6666.6,6537.31,6620,452.91,2992962.01
01-10-2018,6620,6666.76,6511.11,6607.8,453.3,2988404.17
02-10-2018,6607.8,6630,6480.25,6541.6,593.92,3892076.28
03-10-2018,6541.6,6544.28,6425,6503.93,588.87,3820455.04
04-10-2018,6503.93,6642,6503.93,6600.61,799.04,5269427.5
